"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"910","On the #move #Packed my #luggage for my next trip. Waiting for my train. Follow me on #YouTube:… https://t.co/97jPwjtn1h",FALSE,0,NA,2021-03-06 14:00:03,TRUE,NA,"1368199701930115072",NA,"<a href=""http://www.mohammedali.tv"" rel=""nofollow"">FTATMA</a>","mohammedalitv",0,FALSE,FALSE,NA,NA
"911","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:59:34,FALSE,NA,"1368199578982420481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LilN1",176,TRUE,FALSE,NA,NA
"912","RT @misterbumface: When I tweeted this a year ago about our daughter's school trip to Italy getting nixed due to Covid, I did not imagine a…",FALSE,0,NA,2021-03-06 13:58:58,FALSE,NA,"1368199430470463491",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","victoriainlyle",2,TRUE,FALSE,NA,NA
"913","I was getting something from the supplies closet...
And I saw a long pine cone sitting in there...
I then remembere… https://t.co/D3C0Syn1xS",FALSE,0,NA,2021-03-06 13:53:33,TRUE,NA,"1368198066159775744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OneSweetViolet",0,FALSE,FALSE,NA,NA
"914","RT @misterbumface: When I tweeted this a year ago about our daughter's school trip to Italy getting nixed due to Covid, I did not imagine a…",FALSE,0,NA,2021-03-06 13:51:23,FALSE,NA,"1368197522376777731",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jojonyc45",2,TRUE,FALSE,NA,NA
"915","When I tweeted this a year ago about our daughter's school trip to Italy getting nixed due to Covid, I did not imag… https://t.co/WHwxpgP3K9",FALSE,5,NA,2021-03-06 13:46:00,TRUE,NA,"1368196164869181440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","misterbumface",2,FALSE,FALSE,NA,NA
"916","RT @LinnBHalton: 🌷A little suspense set in the Calabrian foothills of #Italy. Discover why a business trip uncovers a much deeper connectio…",FALSE,0,NA,2021-03-06 13:44:58,FALSE,NA,"1368195907619983362",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cassirvelez9",11,TRUE,FALSE,NA,NA
"917","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 13:40:40,FALSE,NA,"1368194823195402241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mynameissalah",176,TRUE,FALSE,NA,NA
"918","RT @LinnBHalton: 🌷A little suspense set in the Calabrian foothills of #Italy. Discover why a business trip uncovers a much deeper connectio…",FALSE,0,NA,2021-03-06 13:32:47,FALSE,NA,"1368192840971526151",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ali18pot",11,TRUE,FALSE,NA,NA
"919","RT @LinnBHalton: 🌷A little suspense set in the Calabrian foothills of #Italy. Discover why a business trip uncovers a much deeper connectio…",FALSE,0,NA,2021-03-06 13:29:51,FALSE,NA,"1368192102748848130",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sak_stories",11,TRUE,FALSE,NA,NA
